type,created_at,date_string,data
uberX,1453728600,2016-01-25 07:30,"{'surge_rate': '1.0', 'eta': '3.5 to 5.0', 'type': 'uberX', 'request_time': '1453728600', 'request_id': '7dd1d914-c9d0-11e5-a59f-6c40089af1d0'}"
train,1453728779,2016-01-25 07:32,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453728779', 'eta': '15.0 to 18.5', 'stop_name': 'California', 'type': 'train'}"
train,1453728817,2016-01-25 07:33,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453728817', 'eta': '1.0 to 4.5', 'stop_name': 'California', 'type': 'train'}"
train,1453728823,2016-01-25 07:33,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453728823', 'eta': '19.0', 'stop_name': 'Damen', 'type': 'train'}"
train,1453728866,2016-01-25 07:34,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453728866', 'eta': '5.5 to 10.0', 'stop_name': 'Damen', 'type': 'train'}"
bus,1453728900,2016-01-25 07:35,"{'direction': 'Northbound', 'route': '52', 'delayed': '0', 'requested_time': '1453728900', 'eta': '5.16666666667 to 10.3333333333', 'stop_name': 'California & Le Moyne', 'type': 'bus'}"
train,1453728987,2016-01-25 07:36,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453728987', 'eta': '4.5 to 8.0', 'stop_name': 'California', 'type': 'train'}"
bus,1453729080,2016-01-25 07:38,"{'direction': 'Eastbound', 'route': '72', 'delayed': '0', 'requested_time': '1453729080', 'eta': '5.16666666667 to 10.3333333333', 'stop_name': 'North Ave & California', 'type': 'bus'}"
train,1453729117,2016-01-25 07:38,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453729117', 'eta': '5.5 to 10.0', 'stop_name': 'Damen', 'type': 'train'}"
bus,1453729140,2016-01-25 07:39,"{'direction': 'Eastbound', 'route': '72', 'delayed': '0', 'requested_time': '1453729140', 'eta': '5.16666666667 to 10.3333333333', 'stop_name': 'North Ave & California', 'type': 'bus'}"
train,1453729176,2016-01-25 07:39,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453729176', 'eta': '8.0 to 11.5', 'stop_name': 'California', 'type': 'train'}"
train,1453729287,2016-01-25 07:41,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453729287', 'eta': '10.0 to 14.5', 'stop_name': 'Damen', 'type': 'train'}"
bus,1453729380,2016-01-25 07:43,"{'direction': 'Northbound', 'route': '52', 'delayed': '0', 'requested_time': '1453729380', 'eta': '10.3333333333 to 15.5', 'stop_name': 'California & Le Moyne', 'type': 'bus'}"
train,1453729415,2016-01-25 07:43,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453729415', 'eta': '11.5 to 15.0', 'stop_name': 'California', 'type': 'train'}"
train,1453729476,2016-01-25 07:44,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453729476', 'eta': '14.5 to 19.0', 'stop_name': 'Damen', 'type': 'train'}"
train,1453729550,2016-01-25 07:45,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453729550', 'eta': '1.0', 'stop_name': 'California', 'type': 'train'}"
train,1453729644,2016-01-25 07:47,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453729644', 'eta': '15.0 to 18.5', 'stop_name': 'California', 'type': 'train'}"
train,1453729794,2016-01-25 07:49,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453729794', 'eta': '4.5 to 8.0', 'stop_name': 'California', 'type': 'train'}"
train,1453729850,2016-01-25 07:50,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453729850', 'eta': '5.5 to 10.0', 'stop_name': 'Damen', 'type': 'train'}"
train,1453729902,2016-01-25 07:51,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453729902', 'eta': '4.5 to 8.0', 'stop_name': 'California', 'type': 'train'}"
bus,1453729920,2016-01-25 07:52,"{'direction': 'Eastbound', 'route': '72', 'delayed': '0', 'requested_time': '1453729920', 'eta': '5.16666666667 to 10.3333333333', 'stop_name': 'North Ave & California', 'type': 'bus'}"
train,1453730027,2016-01-25 07:53,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453730027', 'eta': '8.0 to 11.5', 'stop_name': 'California', 'type': 'train'}"
train,1453730094,2016-01-25 07:54,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453730094', 'eta': '10.0', 'stop_name': 'Damen', 'type': 'train'}"
train,1453730202,2016-01-25 07:56,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453730202', 'eta': '10.0 to 14.5', 'stop_name': 'Damen', 'type': 'train'}"
train,1453730262,2016-01-25 07:57,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453730262', 'eta': '11.5 to 15.0', 'stop_name': 'California', 'type': 'train'}"
train,1453730323,2016-01-25 07:58,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453730323', 'eta': '1.0', 'stop_name': 'California', 'type': 'train'}"
bus,1453730400,2016-01-25 08:00,"{'direction': 'Eastbound', 'route': '72', 'delayed': '0', 'requested_time': '1453730400', 'eta': '0.0 to 5.16666666667', 'stop_name': 'North Ave & California', 'type': 'bus'}"
weather,1453730401,2016-01-25 08:00,"{'date': '1453730401', 'weather': 'Overcast', 'type': 'weather', 'feels_like': '27.6666666667 to 32.5'}"
train,1453730436,2016-01-25 08:00,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453730436', 'eta': '15.0 to 18.5', 'stop_name': 'California', 'type': 'train'}"
train,1453730439,2016-01-25 08:00,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453730439', 'eta': '1.0', 'stop_name': 'Damen', 'type': 'train'}"
bus,1453730460,2016-01-25 08:01,"{'direction': 'Northbound', 'route': '52', 'delayed': '0', 'requested_time': '1453730460', 'eta': '15.5 to 20.6666666667', 'stop_name': 'California & Le Moyne', 'type': 'bus'}"
train,1453730519,2016-01-25 08:01,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453730519', 'eta': '15.0 to 18.5', 'stop_name': 'California', 'type': 'train'}"
train,1453730551,2016-01-25 08:02,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453730551', 'eta': '1.0 to 5.5', 'stop_name': 'Damen', 'type': 'train'}"
train,1453730576,2016-01-25 08:02,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453730576', 'eta': '1.0 to 4.5', 'stop_name': 'California', 'type': 'train'}"
bus,1453730580,2016-01-25 08:03,"{'direction': 'Northbound', 'route': '52', 'delayed': '0', 'requested_time': '1453730580', 'eta': '0.0 to 5.16666666667', 'stop_name': 'California & Le Moyne', 'type': 'bus'}"
train,1453730689,2016-01-25 08:04,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453730689', 'eta': '4.5 to 8.0', 'stop_name': 'California', 'type': 'train'}"
bus,1453730700,2016-01-25 08:05,"{'direction': 'Eastbound', 'route': '72', 'delayed': '0', 'requested_time': '1453730700', 'eta': '5.16666666667 to 10.3333333333', 'stop_name': 'North Ave & California', 'type': 'bus'}"
train,1453730809,2016-01-25 08:06,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453730809', 'eta': '4.5 to 8.0', 'stop_name': 'California', 'type': 'train'}"
train,1453731056,2016-01-25 08:10,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453731056', 'eta': '8.0 to 11.5', 'stop_name': 'California', 'type': 'train'}"
train,1453731236,2016-01-25 08:13,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453731236', 'eta': '11.5 to 15.0', 'stop_name': 'California', 'type': 'train'}"
bus,1453731240,2016-01-25 08:14,"{'direction': 'Northbound', 'route': '52', 'delayed': '0', 'requested_time': '1453731240', 'eta': '10.3333333333 to 15.5', 'stop_name': 'California & Le Moyne', 'type': 'bus'}"
uberX,1453731300,2016-01-25 08:15,"{'surge_rate': '1.0', 'eta': '5.0', 'type': 'uberX', 'request_time': '1453731300', 'request_id': 'ecb57528-c6ad-11e5-9399-6c40089af1d0'}"
train,1453731352,2016-01-25 08:15,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453731352', 'eta': '1.0', 'stop_name': 'California', 'type': 'train'}"
bus,1453731360,2016-01-25 08:16,"{'direction': 'Eastbound', 'route': '72', 'delayed': '0', 'requested_time': '1453731360', 'eta': '0.0 to 5.16666666667', 'stop_name': 'North Ave & California', 'type': 'bus'}"
train,1453731399,2016-01-25 08:16,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453731399', 'eta': '1.0 to 5.5', 'stop_name': 'Damen', 'type': 'train'}"
train,1453731415,2016-01-25 08:16,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453731415', 'eta': '1.0 to 4.5', 'stop_name': 'California', 'type': 'train'}"
train,1453731416,2016-01-25 08:16,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453731416', 'eta': '15.0 to 18.5', 'stop_name': 'California', 'type': 'train'}"
bus,1453731420,2016-01-25 08:17,"{'direction': 'Northbound', 'route': '52', 'delayed': '0', 'requested_time': '1453731420', 'eta': '0.0 to 5.16666666667', 'stop_name': 'California & Le Moyne', 'type': 'bus'}"
train,1453731536,2016-01-25 08:18,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453731536', 'eta': '18.5 to 22.0', 'stop_name': 'California', 'type': 'train'}"
bus,1453731540,2016-01-25 08:19,"{'direction': 'Eastbound', 'route': '72', 'delayed': '0', 'requested_time': '1453731540', 'eta': '0.0 to 5.16666666667', 'stop_name': 'North Ave & California', 'type': 'bus'}"
train,1453731591,2016-01-25 08:19,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453731591', 'eta': '4.5 to 8.0', 'stop_name': 'California', 'type': 'train'}"
train,1453731592,2016-01-25 08:19,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453731592', 'eta': '1.0 to 5.5', 'stop_name': 'Damen', 'type': 'train'}"
train,1453731712,2016-01-25 08:21,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453731712', 'eta': '4.5 to 8.0', 'stop_name': 'California', 'type': 'train'}"
train,1453731715,2016-01-25 08:21,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453731715', 'eta': '5.5 to 10.0', 'stop_name': 'Damen', 'type': 'train'}"
train,1453731891,2016-01-25 08:24,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453731891', 'eta': '8.0 to 11.5', 'stop_name': 'California', 'type': 'train'}"
train,1453732017,2016-01-25 08:26,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453732017', 'eta': '11.5 to 15.0', 'stop_name': 'California', 'type': 'train'}"
uberX,1453732200,2016-01-25 08:30,"{'surge_rate': '1.0', 'eta': '3.5 to 5.0', 'type': 'uberX', 'request_time': '1453732200', 'request_id': '2980b8de-c69d-11e5-a7b1-6c40089af1d0'}"
bus,1453732260,2016-01-25 08:31,"{'direction': 'Eastbound', 'route': '72', 'delayed': '0', 'requested_time': '1453732260', 'eta': '0.0 to 5.16666666667', 'stop_name': 'North Ave & California', 'type': 'bus'}"
bus,1453732260,2016-01-25 08:31,"{'direction': 'Northbound', 'route': '52', 'delayed': '0', 'requested_time': '1453732260', 'eta': '0.0 to 5.16666666667', 'stop_name': 'California & Le Moyne', 'type': 'bus'}"
train,1453732307,2016-01-25 08:31,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453732307', 'eta': '15.0 to 18.5', 'stop_name': 'California', 'type': 'train'}"
bus,1453732320,2016-01-25 08:32,"{'direction': 'Eastbound', 'route': '72', 'delayed': '0', 'requested_time': '1453732320', 'eta': '0.0 to 5.16666666667', 'stop_name': 'North Ave & California', 'type': 'bus'}"
train,1453732406,2016-01-25 08:33,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453732406', 'eta': '1.0 to 5.5', 'stop_name': 'Damen', 'type': 'train'}"
train,1453732453,2016-01-25 08:34,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453732453', 'eta': '4.5 to 8.0', 'stop_name': 'California', 'type': 'train'}"
train,1453732618,2016-01-25 08:36,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453732618', 'eta': '4.5 to 8.0', 'stop_name': 'California', 'type': 'train'}"
train,1453732693,2016-01-25 08:38,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453732693', 'eta': '5.5 to 10.0', 'stop_name': 'Damen', 'type': 'train'}"
train,1453732778,2016-01-25 08:39,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453732778', 'eta': '8.0 to 11.5', 'stop_name': 'California', 'type': 'train'}"
train,1453732918,2016-01-25 08:41,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453732918', 'eta': '10.0 to 14.5', 'stop_name': 'Damen', 'type': 'train'}"
train,1453733032,2016-01-25 08:43,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453733032', 'eta': '11.5 to 15.0', 'stop_name': 'California', 'type': 'train'}"
train,1453733078,2016-01-25 08:44,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453733078', 'eta': '14.5 to 19.0', 'stop_name': 'Damen', 'type': 'train'}"
train,1453733091,2016-01-25 08:44,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453733091', 'eta': '15.0', 'stop_name': 'California', 'type': 'train'}"
uberX,1453733100,2016-01-25 08:45,"{'surge_rate': '1.0', 'eta': '3.5 to 5.0', 'type': 'uberX', 'request_time': '1453733100', 'request_id': 'f8169d6e-c4f7-11e5-9fe1-6c40089af1d0'}"
train,1453733103,2016-01-25 08:45,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453733103', 'eta': '1.0', 'stop_name': 'California', 'type': 'train'}"
train,1453733154,2016-01-25 08:45,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453733154', 'eta': '1.0', 'stop_name': 'Damen', 'type': 'train'}"
train,1453733156,2016-01-25 08:45,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453733156', 'eta': '15.0 to 18.5', 'stop_name': 'California', 'type': 'train'}"
train,1453733204,2016-01-25 08:46,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453733204', 'eta': '1.0 to 4.5', 'stop_name': 'California', 'type': 'train'}"
bus,1453733280,2016-01-25 08:48,"{'direction': 'Eastbound', 'route': '72', 'delayed': '0', 'requested_time': '1453733280', 'eta': '0.0 to 5.16666666667', 'stop_name': 'North Ave & California', 'type': 'bus'}"
train,1453733311,2016-01-25 08:48,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453733311', 'eta': '1.0 to 4.5', 'stop_name': 'California', 'type': 'train'}"
train,1453733403,2016-01-25 08:50,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453733403', 'eta': '5.5 to 10.0', 'stop_name': 'Damen', 'type': 'train'}"
bus,1453733460,2016-01-25 08:51,"{'direction': 'Northbound', 'route': '52', 'delayed': '0', 'requested_time': '1453733460', 'eta': '5.16666666667 to 10.3333333333', 'stop_name': 'California & Le Moyne', 'type': 'bus'}"
train,1453733504,2016-01-25 08:51,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453733504', 'eta': '5.5 to 10.0', 'stop_name': 'Damen', 'type': 'train'}"
train,1453733516,2016-01-25 08:51,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453733516', 'eta': '4.5 to 8.0', 'stop_name': 'California', 'type': 'train'}"
train,1453733752,2016-01-25 08:55,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453733752', 'eta': '8.0 to 11.5', 'stop_name': 'California', 'type': 'train'}"
train,1453733893,2016-01-25 08:58,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453733893', 'eta': '11.5 to 15.0', 'stop_name': 'California', 'type': 'train'}"
uberX,1453734000,2016-01-25 09:00,"{'surge_rate': '1.0', 'eta': '3.5 to 5.0', 'type': 'uberX', 'request_time': '1453734000', 'request_id': '03835868-c9c6-11e5-bd36-6c40089af1d0'}"
weather,1453734001,2016-01-25 09:00,"{'date': '1453734001', 'weather': 'Mostly Cloudy', 'type': 'weather', 'feels_like': '32.5 to 37.3333333333'}"
train,1453734022,2016-01-25 09:00,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453734022', 'eta': '1.0', 'stop_name': 'California', 'type': 'train'}"
train,1453734148,2016-01-25 09:02,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453734148', 'eta': '1.0 to 5.5', 'stop_name': 'Damen', 'type': 'train'}"
train,1453734176,2016-01-25 09:02,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453734176', 'eta': '15.0 to 18.5', 'stop_name': 'California', 'type': 'train'}"
train,1453734182,2016-01-25 09:03,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453734182', 'eta': '1.0 to 4.5', 'stop_name': 'California', 'type': 'train'}"
bus,1453734240,2016-01-25 09:04,"{'direction': 'Eastbound', 'route': '72', 'delayed': '0', 'requested_time': '1453734240', 'eta': '0.0 to 5.16666666667', 'stop_name': 'North Ave & California', 'type': 'bus'}"
train,1453734322,2016-01-25 09:05,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453734322', 'eta': '5.5 to 10.0', 'stop_name': 'Damen', 'type': 'train'}"
bus,1453734360,2016-01-25 09:06,"{'direction': 'Northbound', 'route': '52', 'delayed': '0', 'requested_time': '1453734360', 'eta': '5.16666666667 to 10.3333333333', 'stop_name': 'California & Le Moyne', 'type': 'bus'}"
train,1453734433,2016-01-25 09:07,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453734433', 'eta': '8.0', 'stop_name': 'California', 'type': 'train'}"
train,1453734482,2016-01-25 09:08,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453734482', 'eta': '5.5 to 10.0', 'stop_name': 'Damen', 'type': 'train'}"
train,1453734733,2016-01-25 09:12,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453734733', 'eta': '10.0 to 14.5', 'stop_name': 'Damen', 'type': 'train'}"
train,1453734733,2016-01-25 09:12,"{'direction': '5', 'route': 'Blue', 'delayed': '0', 'requested_time': '1453734733', 'eta': '11.5 to 15.0', 'stop_name': 'California', 'type': 'train'}"
bus,1453734900,2016-01-25 09:15,"{'direction': 'Eastbound', 'route': '72', 'delayed': '0', 'requested_time': '1453734900', 'eta': '0.0 to 5.16666666667', 'stop_name': 'North Ave & California', 'type': 'bus'}"
