requested_time,route,direction,stop_name,eta,delayed
1453899676,Blue,5,Damen,1.0 to 5.5,0
1453900094,Blue,5,Damen,5.5 to 10.0,0
1453900477,Blue,5,Damen,14.5 to 19.0,0
1453900656,Blue,5,Damen,14.5 to 19.0,0
1453900654,Blue,5,Damen,1.0 to 5.5,0
1453901017,Blue,5,Damen,5.5 to 10.0,0
1453901311,Blue,5,Damen,10.0 to 14.5,0
1453901606,Blue,5,Damen,19.0,0
1453901670,Blue,5,Damen,1.0 to 5.5,0
1453901901,Blue,5,Damen,5.5 to 10.0,0
1453902177,Blue,5,Damen,10.0 to 14.5,0
1453902332,Blue,5,Damen,14.5 to 19.0,0
1453902518,Blue,5,Damen,19.0,0
1453902513,Blue,5,Damen,1.0 to 5.5,0
1453902759,Blue,5,Damen,5.5 to 10.0,0
1453902933,Blue,5,Damen,10.0 to 14.5,0
1453903057,Blue,5,Damen,10.0 to 14.5,0
1453903254,Blue,5,Damen,1.0,0
1453903479,Blue,5,Damen,1.0 to 5.5,0
1453903619,Blue,5,Damen,5.5 to 10.0,0
1453903909,Blue,5,Damen,10.0 to 14.5,0
1453904207,Blue,5,Damen,1.0 to 5.5,0
1453904451,Blue,5,Damen,5.5 to 10.0,0
1453904758,Blue,5,Damen,10.0 to 14.5,0
1453904931,Blue,5,Damen,10.0 to 14.5,0
1453905044,Blue,5,Damen,1.0,0
1453905238,Blue,5,Damen,1.0 to 5.5,0
1453905586,Blue,5,Damen,10.0,0
1453905778,Blue,5,Damen,10.0 to 14.5,0
1453906145,Blue,5,Damen,1.0 to 5.5,0
1453906277,Blue,5,Damen,5.5 to 10.0,0
1453906360,Blue,5,Damen,5.5 to 10.0,0
1453906533,Blue,5,Damen,10.0 to 14.5,0
1453907259,Blue,5,Damen,5.5 to 10.0,0
1453907377,Blue,5,Damen,10.0,0
1453907471,Blue,5,Damen,10.0 to 14.5,0
1453907731,Blue,5,Damen,14.5 to 19.0,0
1453907739,Blue,5,Damen,1.0,0
1453908039,Blue,5,Damen,5.5 to 10.0,0
1453908272,Blue,5,Damen,10.0,0
1453908696,Blue,5,Damen,14.5 to 19.0,0
1453908691,Blue,5,Damen,1.0 to 5.5,0
1453909286,Blue,5,Damen,10.0 to 14.5,0
1453909899,Blue,5,Damen,5.5 to 10.0,0
1453910364,Blue,5,Damen,14.5 to 19.0,0
1453910615,Blue,5,Damen,19.0,0
1453910426,Blue,5,Damen,1.0,0
1453910796,Blue,5,Damen,5.5 to 10.0,0
1453911269,Blue,5,Damen,14.5 to 19.0,0
1453911338,Blue,5,Damen,1.0,0
1453911937,Blue,5,Damen,10.0 to 14.5,0
1453912651,Blue,5,Damen,5.5 to 10.0,0
1453913294,Blue,5,Damen,19.0,0
1453913405,Blue,5,Damen,5.5 to 10.0,0
1453913736,Blue,5,Damen,10.0 to 14.5,0
1453914718,Blue,5,Damen,10.0 to 14.5,0
1453915073,Blue,5,Damen,14.5 to 19.0,0
1453915113,Blue,5,Damen,1.0 to 5.5,0
1453915658,Blue,5,Damen,10.0 to 14.5,0
1453916179,Blue,5,Damen,5.5 to 10.0,0
1453916605,Blue,5,Damen,10.0 to 14.5,0
1453917297,Blue,5,Damen,10.0,0
1453986057,Blue,5,Damen,14.5 to 19.0,0
1453986033,Blue,5,Damen,1.0,0
