6228,72,8110,20160120 09:37,20160120 09:29,Westbound,North Ave & Damen
6253,52,1376,20160120 09:36,20160120 09:29,Northbound,California & Le Moyne
5196,52,1798,20160120 09:37,20160120 09:29,Southbound,California & Milwaukee (Blue Line)
9886,52,1271,20160120 09:52,20160120 09:29,Southbound,California & Milwaukee (Blue Line)
3184,72,8122,20160120 09:49,20160120 09:44,Eastbound,North Ave & California
6313,72,8168,20160120 09:52,20160120 09:44,Westbound,North Ave & Damen
8358,72,8129,20160120 09:55,20160120 09:44,Eastbound,North Ave & California
6023,52,1271,20160120 09:52,20160120 09:44,Southbound,California & Milwaukee (Blue Line)
6934,52,1663,20160120 09:52,20160120 09:44,Northbound,California & Le Moyne
9886,52,1854,20160120 10:00,20160120 09:44,Southbound,California & Milwaukee (Blue Line)
4394,72,8106,20160120 10:05,20160120 09:59,Westbound,North Ave & Damen
10586,72,1311,20160120 10:11,20160120 09:58,Eastbound,North Ave & California
8734,72,1996,20160120 10:11,20160120 09:59,Westbound,North Ave & Damen
6172,52,1376,20160120 10:07,20160120 09:59,Southbound,California & Milwaukee (Blue Line)
6107,52,1696,20160120 10:07,20160120 09:59,Northbound,California & Le Moyne
19365,52,1849,20160120 10:23,20160120 09:59,Northbound,California & Le Moyne
112,72,1311,20160120 10:15,20160120 10:14,Eastbound,North Ave & California
4202,72,8138,20160120 10:20,20160120 10:14,Westbound,North Ave & Damen
11670,72,1049,20160120 10:28,20160120 10:14,Eastbound,North Ave & California
6133,52,1849,20160120 10:22,20160120 10:14,Northbound,California & Le Moyne
7212,52,1663,20160120 10:23,20160120 10:14,Southbound,California & Milwaukee (Blue Line)
18014,52,1701,20160120 10:36,20160120 10:13,Northbound,California & Le Moyne
528,72,1943,20160120 10:31,20160120 10:29,Westbound,North Ave & Damen
2379,72,1049,20160120 10:32,20160120 10:29,Eastbound,North Ave & California
11466,72,8122,20160120 10:44,20160120 10:29,Westbound,North Ave & Damen
7263,52,1701,20160120 10:37,20160120 10:29,Northbound,California & Le Moyne
9578,52,1696,20160120 10:42,20160120 10:29,Southbound,California & Milwaukee (Blue Line)
20174,52,1283,20160120 10:53,20160120 10:29,Northbound,California & Le Moyne
2305,72,8129,20160120 10:48,20160120 10:44,Westbound,North Ave & Damen
3771,72,1955,20160120 10:49,20160120 10:44,Eastbound,North Ave & California
5258,72,1162,20160120 10:50,20160120 10:43,Eastbound,North Ave & California
6323,52,1283,20160120 10:51,20160120 10:44,Northbound,California & Le Moyne
9826,52,1849,20160120 10:57,20160120 10:44,Southbound,California & Milwaukee (Blue Line)
17755,52,1256,20160120 11:05,20160120 10:44,Northbound,California & Le Moyne
3499,72,1311,20160120 11:04,20160120 10:59,Westbound,North Ave & Damen
9251,72,8168,20160120 11:11,20160120 10:59,Eastbound,North Ave & California
12571,72,1049,20160120 11:17,20160120 10:59,Westbound,North Ave & Damen
6080,52,1256,20160120 11:06,20160120 10:59,Northbound,California & Le Moyne
9826,52,1701,20160120 11:11,20160120 10:59,Southbound,California & Milwaukee (Blue Line)
19036,52,804,20160120 11:22,20160120 10:59,Northbound,California & Le Moyne
2378,72,1049,20160120 11:18,20160120 11:14,Westbound,North Ave & Damen
12385,72,1955,20160120 11:33,20160120 11:14,Westbound,North Ave & Damen
