utc_timestamp,date_string,prediction,california_train,weather,feels_like,tweet,amen_train,uber_surging,uber_eta,72_bus,52_bus
1453818603,2016-01-26 08:30,1,13.0 to 16.0,Overcast,18.0 to 22.8333333333,0,1.0 to 5.16666666667,1.0 to 1.15,2.0 to 3.5,6.0 to 11.0,1.0 to 6.0
1453819504,2016-01-26 08:45,3,13.0 to 16.0,Overcast,18.0 to 22.8333333333,0,13.5 to 17.6666666667,1.0 to 1.15,2.0 to 3.5,6.0 to 11.0,6.0 to 11.0
1453820401,2016-01-26 09:00,2,1.0 to 4.0,Overcast,18.0 to 22.8333333333,0,1.0 to 5.16666666667,1.15 to 1.3,5.0 to 6.5,6.0 to 11.0,6.0 to 11.0
1453821302,2016-01-26 09:15,2,1.0 to 4.0,Overcast,18.0 to 22.8333333333,0,13.5 to 17.6666666667,1.15 to 1.3,5.0 to 6.5,6.0 to 11.0,11.0 to 16.0
1453822203,2016-01-26 09:30,3,16.0 to 19.0,Overcast,18.0 to 22.8333333333,0,17.6666666667 to 21.8333333333,1.0 to 1.15,5.0 to 6.5,11.0 to 16.0,16.0 to 21.0
1453823104,2016-01-26 09:45,2,13.0 to 16.0,Overcast,18.0 to 22.8333333333,0,17.6666666667 to 21.8333333333,1.0 to 1.15,9.5 to 11.0,1.0 to 6.0,16.0 to 21.0
1453824003,2016-01-26 10:00,1,13.0 to 16.0,Overcast,18.0 to 22.8333333333,0,17.6666666667 to 21.8333333333,1.0 to 1.15,2.0 to 3.5,6.0 to 11.0,1.0 to 6.0
1453824904,2016-01-26 10:15,3,16.0 to 19.0,Overcast,18.0 to 22.8333333333,0,9.33333333333 to 13.5,1.0 to 1.15,3.5 to 5.0,11.0 to 16.0,16.0 to 21.0
1453825805,2016-01-26 10:30,3,1.0 to 4.0,Overcast,18.0 to 22.8333333333,0,17.6666666667 to 21.8333333333,1.0 to 1.15,3.5 to 5.0,6.0 to 11.0,16.0 to 21.0
1453826706,2016-01-26 10:45,3,13.0 to 16.0,Overcast,18.0 to 22.8333333333,0,9.33333333333 to 13.5,1.0 to 1.15,3.5 to 5.0,16.0 to 21.0,6.0 to 11.0
1453827601,2016-01-26 11:00,3,13.0 to 16.0,Overcast,18.0 to 22.8333333333,0,9.33333333333 to 13.5,1.0 to 1.15,3.5 to 5.0,11.0 to 16.0,11.0 to 16.0
1453828502,2016-01-26 11:15,3,16.0 to 19.0,Overcast,18.0 to 22.8333333333,0,13.5 to 17.6666666667,1.0 to 1.15,3.5 to 5.0,6.0 to 11.0,21.0 to 26.0
1453829403,2016-01-26 11:30,3,13.0 to 16.0,Overcast,18.0 to 22.8333333333,0,9.33333333333 to 13.5,1.0 to 1.15,3.5 to 5.0,16.0 to 21.0,11.0 to 16.0
1453830304,2016-01-26 11:45,3,10.0 to 13.0,Overcast,18.0 to 22.8333333333,0,1.0 to 5.16666666667,1.0 to 1.15,3.5 to 5.0,11.0 to 16.0,26.0 to 31.0
1453899601,2016-01-27 07:00,2,16.0 to 19.0,Overcast,27.6666666667 to 32.5,0,1.0 to 5.16666666667,1.0 to 1.15,5.0 to 6.5,1.0 to 6.0,6.0 to 11.0
1453900502,2016-01-27 07:15,2,13.0 to 16.0,Overcast,27.6666666667 to 32.5,0,13.5 to 17.6666666667,1.0 to 1.15,5.0 to 6.5,1.0 to 6.0,16.0 to 21.0
1453901403,2016-01-27 07:30,1,16.0 to 19.0,Overcast,18.0 to 22.8333333333,0,13.5 to 17.6666666667,1.0 to 1.15,3.5 to 5.0,6.0 to 11.0,6.0 to 11.0
1453902304,2016-01-27 07:45,1,13.0 to 16.0,Overcast,18.0 to 22.8333333333,0,13.5 to 17.6666666667,1.0 to 1.15,2.0 to 3.5,6.0 to 11.0,1.0 to 6.0
1453903202,2016-01-27 08:00,2,1.0 to 4.0,Overcast,18.0 to 22.8333333333,0,1.0 to 5.16666666667,1.0 to 1.15,2.0 to 3.5,1.0 to 6.0,11.0 to 16.0
1453904103,2016-01-27 08:15,2,13.0 to 16.0,Overcast,18.0 to 22.8333333333,0,1.0 to 5.16666666667,1.0 to 1.15,2.0 to 3.5,1.0 to 6.0,11.0 to 16.0
1453905004,2016-01-27 08:30,1,13.0 to 16.0,Overcast,18.0 to 22.8333333333,0,1.0 to 5.16666666667,1.0 to 1.15,2.0 to 3.5,1.0 to 6.0,1.0 to 6.0
1453905905,2016-01-27 08:45,1,1.0 to 4.0,Overcast,18.0 to 22.8333333333,0,9.33333333333 to 13.5,1.0 to 1.15,6.5 to 8.0,1.0 to 6.0,1.0 to 6.0
1453906801,2016-01-27 09:00,2,16.0 to 19.0,Overcast,18.0 to 22.8333333333,0,9.33333333333 to 13.5,1.0 to 1.15,3.5 to 5.0,1.0 to 6.0,16.0 to 21.0
1453907702,2016-01-27 09:15,2,1.0 to 4.0,Overcast,18.0 to 22.8333333333,0,13.5 to 17.6666666667,1.0 to 1.15,9.5 to 11.0,1.0 to 6.0,6.0 to 11.0
1453908603,2016-01-27 09:30,1,10.0 to 13.0,Overcast,22.8333333333 to 27.6666666667,0,1.0 to 5.16666666667,1.0 to 1.15,9.5 to 11.0,6.0 to 11.0,6.0 to 11.0
1453909504,2016-01-27 09:45,2,13.0 to 16.0,Overcast,22.8333333333 to 27.6666666667,0,9.33333333333 to 13.5,1.0 to 1.15,3.5 to 5.0,1.0 to 6.0,16.0 to 21.0
1453910401,2016-01-27 10:00,1,13.0 to 16.0,Overcast,22.8333333333 to 27.6666666667,0,1.0 to 5.16666666667,1.0 to 1.15,3.5 to 5.0,1.0 to 6.0,1.0 to 6.0
1453911302,2016-01-27 10:15,3,16.0 to 19.0,Overcast,22.8333333333 to 27.6666666667,0,13.5 to 17.6666666667,1.0 to 1.15,3.5 to 5.0,16.0 to 21.0,6.0 to 11.0
1453912203,2016-01-27 10:30,2,13.0 to 16.0,Overcast,18.0 to 22.8333333333,0,9.33333333333 to 13.5,1.0 to 1.15,5.0 to 6.5,1.0 to 6.0,21.0 to 26.0
