utc_timestamp,date_string,California_train,weather,feels_like,tweet,Damen_train,uber_surging,uber_eta,72_bus,52_bus
1454158801,2016-01-30 07:00,8.0 to 11.5,Mostly Cloudy,32.5 to 37.3333333333,0,19.0,1.0,3.5 to 5.0,0.0 to 5.16666666667,20.6666666667 to 25.8333333333
1454159702,2016-01-30 07:15,1.0 to 4.5,Mostly Cloudy,32.5 to 37.3333333333,0,14.5 to 19.0,1.0,3.5 to 5.0,15.5 to 20.6666666667,5.16666666667 to 10.3333333333
1454160603,2016-01-30 07:30,1.0 to 4.5,Mostly Cloudy,32.5 to 37.3333333333,1,14.5 to 19.0,1.0,5.0,15.5 to 20.6666666667,25.8333333333 to 31.0
1454161504,2016-01-30 07:45,1.0,Mostly Cloudy,32.5 to 37.3333333333,1,1.0 to 5.5,1.0,5.0,10.3333333333 to 15.5,15.5 to 20.6666666667
1454162401,2016-01-30 08:00,1.0 to 4.5,Mostly Cloudy,32.5 to 37.3333333333,1,14.5 to 19.0,1.0,5.0,31.0,25.8333333333 to 31.0
1454163302,2016-01-30 08:15,11.5 to 15.0,Mostly Cloudy,32.5 to 37.3333333333,1,14.5 to 19.0,1.0,3.5 to 5.0,0.0 to 5.16666666667,10.3333333333 to 15.5
1454164203,2016-01-30 08:30,15.0 to 18.5,Mostly Cloudy,32.5 to 37.3333333333,1,14.5 to 19.0,1.0,3.5 to 5.0,0.0 to 5.16666666667,10.3333333333 to 15.5
1454165104,2016-01-30 08:45,15.0,Mostly Cloudy,32.5 to 37.3333333333,1,10.0 to 14.5,1.0,3.5 to 5.0,10.3333333333 to 15.5,15.5 to 20.6666666667
1454166001,2016-01-30 09:00,1.0 to 4.5,Mostly Cloudy,32.5 to 37.3333333333,1,14.5 to 19.0,1.0,3.5 to 5.0,5.16666666667 to 10.3333333333,20.6666666667 to 25.8333333333
1454166902,2016-01-30 09:15,15.0,Mostly Cloudy,32.5 to 37.3333333333,1,10.0 to 14.5,1.9,3.5 to 5.0,5.16666666667 to 10.3333333333,20.6666666667 to 25.8333333333
1454167803,2016-01-30 09:30,1.0 to 4.5,Mostly Cloudy,32.5 to 37.3333333333,1,14.5 to 19.0,1.0,5.0,0.0 to 5.16666666667,10.3333333333 to 15.5
1454168704,2016-01-30 09:45,15.0 to 18.5,Mostly Cloudy,32.5 to 37.3333333333,1,10.0 to 14.5,1.0,5.0,15.5 to 20.6666666667,10.3333333333 to 15.5
1454169601,2016-01-30 10:00,15.0 to 18.5,Mostly Cloudy,32.5 to 37.3333333333,1,14.5 to 19.0,1.0,2.0 to 3.5,15.5 to 20.6666666667,15.5 to 20.6666666667
1454170502,2016-01-30 10:15,1.0,Mostly Cloudy,32.5 to 37.3333333333,1,10.0 to 14.5,1.0,2.0 to 3.5,0.0 to 5.16666666667,0.0 to 5.16666666667
1454171403,2016-01-30 10:30,11.5 to 15.0,Mostly Cloudy,37.3333333333 to 42.1666666667,1,1.0 to 5.5,1.0,2.0 to 3.5,0.0 to 5.16666666667,10.3333333333 to 15.5
1454172304,2016-01-30 10:45,15.0,Mostly Cloudy,37.3333333333 to 42.1666666667,1,14.5 to 19.0,1.0,3.5 to 5.0,10.3333333333 to 15.5,15.5 to 20.6666666667
1454173201,2016-01-30 11:00,15.0 to 18.5,Overcast,37.3333333333 to 42.1666666667,1,14.5 to 19.0,1.0,3.5 to 5.0,10.3333333333 to 15.5,15.5 to 20.6666666667
1454174102,2016-01-30 11:15,11.5 to 15.0,Overcast,37.3333333333 to 42.1666666667,1,1.0 to 5.5,1.0,3.5 to 5.0,0.0 to 5.16666666667,15.5 to 20.6666666667
1454175003,2016-01-30 11:30,15.0 to 18.5,Overcast,37.3333333333 to 42.1666666667,1,1.0 to 5.5,1.0,2.0 to 3.5,0.0 to 5.16666666667,20.6666666667 to 25.8333333333
1454175904,2016-01-30 11:45,15.0,Overcast,37.3333333333 to 42.1666666667,1,10.0 to 14.5,1.0,2.0 to 3.5,5.16666666667 to 10.3333333333,20.6666666667 to 25.8333333333
1454245201,2016-01-31 07:00,18.5 to 22.0,Overcast,37.3333333333 to 42.1666666667,0,19.0 to 23.5,1.0,3.5 to 5.0,10.3333333333 to 15.5,20.6666666667 to 25.8333333333
1454246102,2016-01-31 07:15,1.0 to 4.5,Overcast,37.3333333333 to 42.1666666667,0,19.0 to 23.5,1.0,3.5 to 5.0,25.8333333333 to 31.0,20.6666666667 to 25.8333333333
1454247003,2016-01-31 07:30,11.5 to 15.0,Overcast,42.1666666667 to 47.0,0,14.5 to 19.0,1.0,2.0,15.5 to 20.6666666667,25.8333333333 to 31.0
1454247904,2016-01-31 07:45,4.5 to 8.0,Overcast,42.1666666667 to 47.0,0,10.0 to 14.5,1.0,2.0,5.16666666667 to 10.3333333333,20.6666666667 to 25.8333333333
1454248801,2016-01-31 08:00,1.0,Overcast,42.1666666667 to 47.0,0,23.5 to 28.0,1.0,3.5 to 5.0,10.3333333333 to 15.5,5.16666666667 to 10.3333333333
1454249702,2016-01-31 08:15,1.0,Overcast,42.1666666667 to 47.0,0,19.0,1.0,6.5 to 8.0,25.8333333333 to 31.0,31.0
1454250603,2016-01-31 08:30,11.5 to 15.0,Overcast,42.1666666667 to 47.0,0,19.0,1.0,5.0 to 6.5,15.5 to 20.6666666667,15.5 to 20.6666666667
1454251504,2016-01-31 08:45,1.0 to 4.5,Overcast,42.1666666667 to 47.0,0,10.0 to 14.5,1.0,5.0 to 6.5,20.6666666667 to 25.8333333333,5.16666666667 to 10.3333333333
1454252401,2016-01-31 09:00,8.0 to 11.5,Overcast,42.1666666667 to 47.0,0,14.5 to 19.0,1.0,5.0 to 6.5,5.16666666667 to 10.3333333333,10.3333333333 to 15.5
1454253302,2016-01-31 09:15,15.0 to 18.5,Overcast,42.1666666667 to 47.0,0,10.0 to 14.5,1.0,3.5 to 5.0,25.8333333333 to 31.0,15.5 to 20.6666666667
1454254203,2016-01-31 09:30,11.5 to 15.0,Overcast,47,0,14.5 to 19.0,1.0,3.5 to 5.0,15.5 to 20.6666666667,20.6666666667 to 25.8333333333
1454255104,2016-01-31 09:45,11.5 to 15.0,Overcast,47,0,14.5 to 19.0,1.0,3.5 to 5.0,10.3333333333 to 15.5,10.3333333333 to 15.5
1454256001,2016-01-31 10:00,11.5 to 15.0,Overcast,47,0,1.0 to 5.5,1.0,3.5 to 5.0,15.5 to 20.6666666667,15.5 to 20.6666666667
1454256902,2016-01-31 10:15,11.5 to 15.0,Overcast,47,0,14.5 to 19.0,1.0,2.0 to 3.5,15.5 to 20.6666666667,20.6666666667 to 25.8333333333
1454257803,2016-01-31 10:30,11.5 to 15.0,Overcast,42.1666666667 to 47.0,0,14.5 to 19.0,1.0,8.0,5.16666666667 to 10.3333333333,10.3333333333 to 15.5
1454258704,2016-01-31 10:45,1.0 to 4.5,Overcast,42.1666666667 to 47.0,0,14.5 to 19.0,1.0,3.5 to 5.0,15.5 to 20.6666666667,15.5 to 20.6666666667
1454259601,2016-01-31 11:00,1.0 to 4.5,Overcast,42.1666666667 to 47.0,0,14.5 to 19.0,1.0,3.5 to 5.0,15.5 to 20.6666666667,20.6666666667 to 25.8333333333
1454260502,2016-01-31 11:15,18.5 to 22.0,Overcast,42.1666666667 to 47.0,0,14.5 to 19.0,1.0,3.5 to 5.0,10.3333333333 to 15.5,20.6666666667 to 25.8333333333
1454261403,2016-01-31 11:30,15.0 to 18.5,Overcast,47,0,14.5 to 19.0,1.0,3.5 to 5.0,10.3333333333 to 15.5,10.3333333333 to 15.5
1454262304,2016-01-31 11:45,1.0,Overcast,47,0,10.0 to 14.5,1.0,3.5 to 5.0,15.5 to 20.6666666667,15.5 to 20.6666666667
1454331601,2016-02-01 07:00,1.0 to 4.5,Mostly Cloudy,27.6666666667 to 32.5,1,1.0 to 5.5,1.0,9.5 to 11.0,15.5 to 20.6666666667,5.16666666667 to 10.3333333333
1454332502,2016-02-01 07:15,11.5 to 15.0,Mostly Cloudy,27.6666666667 to 32.5,1,10.0 to 14.5,1.0,5.0 to 6.5,0.0 to 5.16666666667,0.0 to 5.16666666667
1454333403,2016-02-01 07:30,15.0 to 18.5,Mostly Cloudy,27.6666666667 to 32.5,1,14.5 to 19.0,1.0,5.0 to 6.5,5.16666666667 to 10.3333333333,0.0 to 5.16666666667
1454334304,2016-02-01 07:45,11.5 to 15.0,Mostly Cloudy,27.6666666667 to 32.5,1,10.0 to 14.5,1.0,5.0,0.0 to 5.16666666667,5.16666666667 to 10.3333333333
1454335201,2016-02-01 08:00,1.0 to 4.5,Mostly Cloudy,27.6666666667 to 32.5,1,14.5 to 19.0,1.0,5.0,0.0 to 5.16666666667,15.5 to 20.6666666667
1454336102,2016-02-01 08:15,18.5 to 22.0,Mostly Cloudy,27.6666666667 to 32.5,1,5.5 to 10.0,1.0,5.0,5.16666666667 to 10.3333333333,5.16666666667 to 10.3333333333
1454337003,2016-02-01 08:30,1.0 to 4.5,Mostly Cloudy,27.6666666667 to 32.5,1,1.0,1.15 to 1.3,6.5 to 8.0,0.0 to 5.16666666667,0.0 to 5.16666666667
1454337904,2016-02-01 08:45,15.0,Mostly Cloudy,27.6666666667 to 32.5,1,1.0 to 5.5,1.15 to 1.3,6.5 to 8.0,5.16666666667 to 10.3333333333,10.3333333333 to 15.5
1454338801,2016-02-01 09:00,15.0,Mostly Cloudy,27.6666666667 to 32.5,1,14.5 to 19.0,1.15 to 1.3,6.5 to 8.0,5.16666666667 to 10.3333333333,10.3333333333 to 15.5
1454339702,2016-02-01 09:15,15.0 to 18.5,Mostly Cloudy,27.6666666667 to 32.5,1,14.5 to 19.0,1.0,5.0 to 6.5,0.0 to 5.16666666667,0.0 to 5.16666666667
1454340603,2016-02-01 09:30,1.0,Mostly Cloudy,32.5 to 37.3333333333,1,10.0 to 14.5,1.0,5.0 to 6.5,5.16666666667 to 10.3333333333,20.6666666667 to 25.8333333333
1454341504,2016-02-01 09:45,1.0 to 4.5,Mostly Cloudy,32.5 to 37.3333333333,1,14.5 to 19.0,1.0,5.0 to 6.5,0.0 to 5.16666666667,20.6666666667 to 25.8333333333
1454342401,2016-02-01 10:00,1.0 to 4.5,Mostly Cloudy,32.5 to 37.3333333333,1,14.5 to 19.0,1.0,5.0,10.3333333333 to 15.5,5.16666666667 to 10.3333333333
1454343302,2016-02-01 10:15,18.5 to 22.0,Mostly Cloudy,32.5 to 37.3333333333,1,10.0 to 14.5,1.0,5.0,10.3333333333 to 15.5,15.5 to 20.6666666667
1454344203,2016-02-01 10:30,11.5 to 15.0,Mostly Cloudy,32.5 to 37.3333333333,1,14.5 to 19.0,1.0,6.5 to 8.0,20.6666666667 to 25.8333333333,15.5 to 20.6666666667
1454345104,2016-02-01 10:45,1.0,Mostly Cloudy,32.5 to 37.3333333333,1,14.5 to 19.0,1.0,6.5 to 8.0,15.5 to 20.6666666667,10.3333333333 to 15.5
1454346001,2016-02-01 11:00,1.0 to 4.5,Mostly Cloudy,32.5 to 37.3333333333,1,19.0,1.0,6.5 to 8.0,0.0 to 5.16666666667,20.6666666667 to 25.8333333333
1454346902,2016-02-01 11:15,15.0,Mostly Cloudy,32.5 to 37.3333333333,1,10.0 to 14.5,1.15 to 1.3,5.0 to 6.5,10.3333333333 to 15.5,10.3333333333 to 15.5
1454347803,2016-02-01 11:30,15.0,Mostly Cloudy,37.3333333333 to 42.1666666667,1,10.0 to 14.5,1.15 to 1.3,5.0 to 6.5,15.5 to 20.6666666667,20.6666666667 to 25.8333333333
1454348704,2016-02-01 11:45,11.5 to 15.0,Mostly Cloudy,37.3333333333 to 42.1666666667,1,14.5 to 19.0,1.15 to 1.3,5.0 to 6.5,10.3333333333 to 15.5,10.3333333333 to 15.5
