'distance_to_stop', 'rt', 'vehicle_id', 'prdtm', 'tmstmp', 'rtdir', 'stpnm'
9886,52,1673,20160129 11:45,20160129 11:29,Southbound,California & Milwaukee (Blue Line)
1832,72,1957,20160129 11:47,20160129 11:44,Westbound,North Ave & Damen
3604,72,1419,20160129 11:50,20160129 11:44,Westbound,North Ave & Damen
8459,72,1007,20160129 11:55,20160129 11:44,Eastbound,North Ave & California
389,52,1673,20160129 11:45,20160129 11:44,Southbound,California & Milwaukee (Blue Line)
12455,52,1376,20160129 11:59,20160129 11:44,Northbound,California & Le Moyne
9886,52,803,20160129 12:02,20160129 11:44,Southbound,California & Milwaukee (Blue Line)
2675,72,8173,20160129 12:03,20160129 11:59,Westbound,North Ave & Damen
4549,72,8157,20160129 12:06,20160129 11:59,Eastbound,North Ave & California
9369,72,1973,20160129 12:11,20160129 11:59,Eastbound,North Ave & California
386,52,803,20160129 12:01,20160129 11:59,Southbound,California & Milwaukee (Blue Line)
12073,52,1834,20160129 12:14,20160129 11:59,Northbound,California & Le Moyne
9886,52,1359,20160129 12:19,20160129 11:59,Southbound,California & Milwaukee (Blue Line)
2512,72,8121,20160129 12:17,20160129 12:14,Westbound,North Ave & Damen
7563,72,8100,20160129 12:25,20160129 12:14,Westbound,North Ave & Damen
11733,72,8115,20160129 12:30,20160129 12:14,Eastbound,North Ave & California
557,52,1834,20160129 12:15,20160129 12:14,Northbound,California & Le Moyne
4520,52,1359,20160129 12:20,20160129 12:14,Southbound,California & Milwaukee (Blue Line)
14107,52,804,20160129 12:31,20160129 12:14,Northbound,California & Le Moyne
2509,72,8115,20160129 12:33,20160129 12:30,Eastbound,North Ave & California
3340,72,8171,20160129 12:34,20160129 12:29,Westbound,North Ave & Damen
7437,72,1414,20160129 12:39,20160129 12:29,Eastbound,North Ave & California
1667,52,804,20160129 12:31,20160129 12:29,Northbound,California & Le Moyne
5873,52,1376,20160129 12:37,20160129 12:29,Southbound,California & Milwaukee (Blue Line)
11614,52,1630,20160129 12:44,20160129 12:29,Northbound,California & Le Moyne
1323,72,1007,20160129 12:46,20160129 12:44,Westbound,North Ave & Damen
6222,72,8153,20160129 12:53,20160129 12:44,Eastbound,North Ave & California
11189,72,1967,20160129 12:59,20160129 12:44,Eastbound,North Ave & California
4597,52,1830,20160129 12:50,20160129 12:44,Northbound,California & Le Moyne
6536,52,1834,20160129 12:53,20160129 12:44,Southbound,California & Milwaukee (Blue Line)
17516,52,1852,20160129 13:07,20160129 12:44,Northbound,California & Le Moyne
337,72,8157,20160129 13:00,20160129 12:59,Westbound,North Ave & Damen
1220,72,1967,20160129 13:02,20160129 12:59,Eastbound,North Ave & California
7116,72,1973,20160129 13:11,20160129 12:59,Westbound,North Ave & Damen
6115,52,1852,20160129 13:07,20160129 12:59,Northbound,California & Le Moyne
6171,52,804,20160129 13:07,20160129 12:59,Southbound,California & Milwaukee (Blue Line)
9886,52,1630,20160129 13:24,20160129 12:59,Southbound,California & Milwaukee (Blue Line)
6766,72,1419,20160129 13:22,20160129 13:13,Eastbound,North Ave & California
4821,72,8115,20160129 13:22,20160129 13:14,Westbound,North Ave & Damen
12572,72,1414,20160129 13:35,20160129 13:14,Westbound,North Ave & Damen
7188,52,1630,20160129 13:23,20160129 13:14,Southbound,California & Milwaukee (Blue Line)
10694,52,1636,20160129 13:28,20160129 13:14,Northbound,California & Le Moyne
14332,52,1699,20160129 13:32,20160129 13:14,Northbound,California & Le Moyne
3254,72,1414,20160129 13:35,20160129 13:29,Westbound,North Ave & Damen
11589,72,8173,20160129 13:43,20160129 13:28,Eastbound,North Ave & California
10757,72,1063,20160129 13:44,20160129 13:29,Eastbound,North Ave & California
6073,52,1830,20160129 13:37,20160129 13:29,Southbound,California & Milwaukee (Blue Line)
15270,52,1671,20160129 13:48,20160129 13:28,Northbound,California & Le Moyne
9909,52,1852,20160129 13:51,20160129 13:29,Southbound,California & Milwaukee (Blue Line)
1007,72,8153,20160129 13:47,20160129 13:44,Westbound,North Ave & Damen
3198,72,8121,20160129 13:49,20160129 13:44,Eastbound,North Ave & California
7082,72,1967,20160129 13:56,20160129 13:44,Westbound,North Ave & Damen
4240,52,1852,20160129 13:50,20160129 13:45,Southbound,California & Milwaukee (Blue Line)
6787,52,1671,20160129 13:52,20160129 13:43,Northbound,California & Le Moyne
9233,52,1362,20160129 13:56,20160129 13:44,Northbound,California & Le Moyne
4147,72,8100,20160129 14:05,20160129 13:59,Eastbound,North Ave & California
6027,72,8171,20160129 14:07,20160129 13:59,Eastbound,North Ave & California
5191,72,1957,20160129 14:08,20160129 13:59,Westbound,North Ave & Damen
3077,52,1636,20160129 14:04,20160129 14:00,Southbound,California & Milwaukee (Blue Line)
5219,52,1645,20160129 14:06,20160129 14:00,Northbound,California & Le Moyne
9826,52,1699,20160129 14:12,20160129 13:59,Southbound,California & Milwaukee (Blue Line)
3208,72,1419,20160129 14:20,20160129 14:14,Westbound,North Ave & Damen
5896,72,1007,20160129 14:22,20160129 14:14,Eastbound,North Ave & California
10575,72,8112,20160129 14:29,20160129 14:14,Eastbound,North Ave & California
2559,52,1673,20160129 14:18,20160129 14:14,Northbound,California & Le Moyne
5930,52,1448,20160129 14:22,20160129 14:14,Northbound,California & Le Moyne
9846,52,1671,20160129 14:26,20160129 14:14,Southbound,California & Milwaukee (Blue Line)
5200,72,8173,20160129 14:37,20160129 14:28,Westbound,North Ave & Damen
7830,72,8157,20160129 14:39,20160129 14:29,Eastbound,North Ave & California
6204,72,1063,20160129 14:40,20160129 14:29,Westbound,North Ave & Damen
3293,52,1362,20160129 14:34,20160129 14:29,Southbound,California & Milwaukee (Blue Line)
4487,52,803,20160129 14:35,20160129 14:30,Northbound,California & Le Moyne
9886,52,1645,20160129 14:46,20160129 14:29,Southbound,California & Milwaukee (Blue Line)
4177,72,8151,20160129 14:50,20160129 14:45,Eastbound,North Ave & California
4585,72,8121,20160129 14:52,20160129 14:44,Westbound,North Ave & Damen
7786,72,8100,20160129 14:58,20160129 14:44,Westbound,North Ave & Damen
8554,52,1631,20160129 14:55,20160129 14:44,Northbound,California & Le Moyne
9430,52,1673,20160129 14:58,20160129 14:44,Southbound,California & Milwaukee (Blue Line)
13956,52,1179,20160129 15:02,20160129 14:44,Northbound,California & Le Moyne
1138,72,1149,20160129 15:02,20160129 14:59,Eastbound,North Ave & California
1377,72,8100,20160129 15:02,20160129 14:59,Westbound,North Ave & Damen
7698,72,1414,20160129 15:09,20160129 14:59,Eastbound,North Ave & California
894,52,1359,20160129 15:01,20160129 14:59,Northbound,California & Le Moyne
3555,52,1179,20160129 15:03,20160129 14:59,Northbound,California & Le Moyne
6365,52,1448,20160129 15:09,20160129 14:59,Southbound,California & Milwaukee (Blue Line)
1966,72,1007,20160129 15:18,20160129 15:14,Westbound,North Ave & Damen
6690,72,8153,20160129 15:22,20160129 15:14,Eastbound,North Ave & California
7827,72,8131,20160129 15:26,20160129 15:14,Eastbound,North Ave & California
3552,52,1376,20160129 15:18,20160129 15:13,Northbound,California & Le Moyne
4044,52,803,20160129 15:20,20160129 15:14,Southbound,California & Milwaukee (Blue Line)
