'distance_to_stop', 'rt', 'vehicle_id', 'prdtm', 'tmstmp', 'rtdir', 'stpnm'
9370,52,1648,20160128 18:58,20160128 18:44,Southbound,California & Milwaukee (Blue Line)
14550,52,1629,20160128 19:02,20160128 18:44,Northbound,California & Le Moyne
7993,72,8173,20160128 19:08,20160128 18:59,Eastbound,North Ave & California
6303,72,2015,20160128 19:11,20160128 18:59,Westbound,North Ave & Damen
12528,72,1420,20160128 19:22,20160128 18:59,Westbound,North Ave & Damen
3537,52,1629,20160128 19:03,20160128 18:59,Northbound,California & Le Moyne
10273,52,1433,20160128 19:15,20160128 18:59,Southbound,California & Milwaukee (Blue Line)
16668,52,1839,20160128 19:20,20160128 18:59,Northbound,California & Le Moyne
2437,72,1420,20160128 19:19,20160128 19:14,Westbound,North Ave & Damen
7252,72,2027,20160128 19:23,20160128 19:14,Eastbound,North Ave & California
9414,72,1007,20160128 19:31,20160128 19:14,Westbound,North Ave & Damen
5147,52,1839,20160128 19:20,20160128 19:14,Northbound,California & Le Moyne
9886,52,1449,20160128 19:34,20160128 19:14,Southbound,California & Milwaukee (Blue Line)
20186,52,1622,20160128 19:38,20160128 19:14,Northbound,California & Le Moyne
5250,72,1215,20160128 19:36,20160128 19:29,Eastbound,North Ave & California
11178,72,1061,20160128 19:43,20160128 19:29,Eastbound,North Ave & California
8020,72,1064,20160128 19:44,20160128 19:29,Westbound,North Ave & Damen
3512,52,1449,20160128 19:34,20160128 19:29,Southbound,California & Milwaukee (Blue Line)
8729,52,1622,20160128 19:39,20160128 19:29,Northbound,California & Le Moyne
9897,52,1629,20160128 19:53,20160128 19:29,Southbound,California & Milwaukee (Blue Line)
1210,72,1061,20160128 19:46,20160128 19:44,Eastbound,North Ave & California
6313,72,1991,20160128 19:55,20160128 19:44,Westbound,North Ave & Damen
